Order Date,Region,Category,Sub-Category,Sales,Profit
2014-01-03,Central,Office Supplies,Paper,16.448,5.5512
2014-01-04,Central,Office Supplies,Binders,3.54,-5.487
2014-01-04,Central,Office Supplies,Labels,11.784,4.2717
2014-01-04,Central,Office Supplies,Storage,272.736,-64.7748
2014-01-05,East,Office Supplies,Art,19.536,4.884
2014-01-06,South,Furniture,Chairs,2573.82,746.4078
2014-01-06,South,Office Supplies,Art,18.259999999999998,6.7194
2014-01-06,South,Office Supplies,Binders,609.98,274.491
2014-01-06,South,Office Supplies,Fasteners,31.12,0.3112
2014-01-06,South,Office Supplies,Paper,6.54,3.0084
2014-01-06,South,Technology,Phones,1147.94,317.7834
2014-01-06,West,Office Supplies,Paper,19.44,9.3312
2014-01-07,Central,Furniture,Furnishings,76.728,-53.7096
2014-01-07,Central,Office Supplies,Binders,10.43,-18.2525
2014-01-09,Central,Office Supplies,Art,9.344,1.168
2014-01-09,Central,Technology,Accessories,31.2,9.75
2014-01-10,South,Furniture,Furnishings,51.94,21.2954
2014-01-10,South,Office Supplies,Labels,2.89,1.3583
2014-01-11,East,Furniture,Furnishings,9.94,3.0814
2014-01-13,East,Office Supplies,Binders,3.438,-2.5212
2014-01-13,East,Office Supplies,Paper,37.408,13.0928
2014-01-13,South,Furniture,Chairs,545.94,87.3504
2014-01-13,South,Office Supplies,Binders,5.64,2.7072
2014-01-13,South,Office Supplies,Envelopes,62.3,30.809199999999997
2014-01-13,South,Office Supplies,Storage,572.58,34.3548
2014-01-13,South,Technology,Accessories,646.74,258.696
2014-01-13,West,Furniture,Bookcases,333.999,3.9294
2014-01-13,West,Office Supplies,Art,19.9,6.567
2014-01-13,West,Office Supplies,Storage,1325.85,238.653
2014-01-14,East,Furniture,Bookcases,61.96,-53.2856
2014-01-15,South,Technology,Accessories,149.95,65.978
2014-01-16,East,Furniture,Furnishings,127.104,28.5984
2014-01-16,East,Office Supplies,Binders,18.588,-13.6312
2014-01-16,East,Office Supplies,Labels,30.072,10.1493
2014-01-16,East,Technology,Phones,124.2,-31.05
2014-01-18,West,Office Supplies,Appliances,64.864,6.4864
2014-01-19,West,Furniture,Bookcases,181.47,-320.597
2014-01-19,West,Office Supplies,Binders,32.34,-23.716
2014-01-19,West,Office Supplies,Envelopes,108.72,36.693
2014-01-19,West,Office Supplies,Paper,56.064,19.6224
2014-01-20,Central,Furniture,Furnishings,287.67,34.884299999999996
2014-01-20,Central,Office Supplies,Appliances,247.716,93.5816
2014-01-20,Central,Office Supplies,Art,43.92,12.7368
2014-01-20,Central,Office Supplies,Binders,48.75,22.3185
2014-01-20,Central,Office Supplies,Storage,80.56,20.0334
2014-01-20,South,Furniture,Chairs,1067.94,224.2674
2014-01-20,South,Furniture,Furnishings,38.6,11.58
2014-01-20,South,Office Supplies,Art,29.59,8.448500000000001
2014-01-20,South,Office Supplies,Binders,67.194,-51.5154
2014-01-20,South,Office Supplies,Envelopes,23.34,10.9698
2014-01-20,South,Technology,Phones,699.93,181.9818
2014-01-20,West,Furniture,Furnishings,19.3,5.79
2014-01-20,West,Office Supplies,Paper,19.36,9.2928
2014-01-21,South,Furniture,Furnishings,25.248,4.1028
2014-01-23,Central,Office Supplies,Fasteners,5.94,0.0
2014-01-23,West,Office Supplies,Paper,40.08,19.2384
2014-01-26,Central,Furniture,Bookcases,141.96,39.7488
2014-01-26,Central,Office Supplies,Binders,10.68,5.0196
2014-01-26,South,Furniture,Furnishings,75.24,35.253
2014-01-26,South,Office Supplies,Paper,36.120000000000005,17.6712
2014-01-26,South,Office Supplies,Storage,489.92,0.0
2014-01-26,South,Technology,Phones,343.33,52.6344
2014-01-27,West,Furniture,Tables,333.0,-16.65
2014-01-27,West,Office Supplies,Art,36.44,12.0252
2014-01-27,West,Office Supplies,Storage,57.23,14.3075
2014-01-28,East,Office Supplies,Binders,3.928,1.3257
2014-01-30,Central,Office Supplies,Paper,10.56,4.752
2014-01-30,Central,Office Supplies,Storage,229.94,6.8982
2014-01-31,West,Furniture,Bookcases,290.666,3.4196
2014-02-01,Central,Technology,Accessories,468.9,206.316
2014-02-02,South,Office Supplies,Binders,18.336,-12.224
2014-02-02,South,Technology,Phones,180.96,13.572
2014-02-02,West,Office Supplies,Fasteners,12.35,5.8045
2014-02-03,West,Office Supplies,Binders,97.11200000000001,31.5614
2014-02-04,West,Office Supplies,Binders,100.144,35.0504
2014-02-04,West,Office Supplies,Paper,34.24,16.0928
2014-02-06,Central,Office Supplies,Binders,8.952,-14.7708
2014-02-06,South,Office Supplies,Labels,15.0,7.2
2014-02-06,South,Technology,Phones,306.56,84.0541
2014-02-07,East,Office Supplies,Storage,64.96,9.744
2014-02-07,East,Technology,Accessories,115.36,49.6048
2014-02-08,West,Furniture,Furnishings,14.56,5.5328
2014-02-11,Central,Furniture,Chairs,60.89,15.2225
2014-02-11,Central,Furniture,Furnishings,332.94,53.2704
2014-02-11,Central,Office Supplies,Binders,61.54,28.8274
2014-02-11,Central,Office Supplies,Labels,14.94,6.8724
2014-02-11,Central,Office Supplies,Storage,64.96,2.5984
2014-02-11,South,Furniture,Tables,1256.22,75.3732
2014-02-11,South,Office Supplies,Binders,17.46,8.2062
2014-02-11,South,Technology,Accessories,234.45,103.158
2014-02-12,West,Furniture,Chairs,129.568,-24.294
2014-02-14,Central,Office Supplies,Paper,16.176,6.066
2014-02-14,West,Office Supplies,Appliances,81.96,22.9488
2014-02-14,West,Office Supplies,Supplies,238.62,4.7724
2014-02-14,West,Technology,Accessories,239.97,86.3892
